iter	Passed	Remaining
251	84415	250565
252	84695	250068
253	85054	249806
254	85330	249299
255	85630	248864
256	85955	248501
257	86253	248063
258	86622	247827
259	86916	247376
260	87221	246961
261	87602	246758
262	87978	246539
263	88316	246214
264	88657	245899
265	88996	245576
266	89340	245268
267	89669	244917
268	89992	244552
269	90278	244085
270	90592	243698
271	90843	243141
272	91123	242663
273	91441	242287
274	91879	242227
275	92175	241792
276	92488	241404
277	92777	240954
278	93116	240633
279	93452	240305
280	93726	239820
281	94072	239518
282	94420	239221
283	94762	238907
284	95107	238603
285	95439	238265
286	95768	237919
287	96103	237590
288	96450	237288
289	96785	236957
290	97122	236631
291	97480	236357
292	97834	236071
293	98176	235756
294	98518	235441
295	98816	235022
296	99106	234584
297	99370	234086
298	99614	233544
299	99860	233008
300	100113	232489
301	100358	231954
302	100606	231427
303	100868	230935
304	101114	230409
305	101379	229927
306	101692	229553
307	101950	229057
308	102206	228558
309	102453	228041
310	102712	227553
311	102970	227063
312	103213	226541
313	103488	226091
314	103747	225609
315	104012	225141
316	104274	224666
317	104527	224176
318	104784	223693
319	105099	223337
320	105396	222941
321	105681	222522
322	106024	222224
323	106311	221809
324	106603	221407
325	106893	221001
326	107189	220607
327	107485	220214
328	107784	219827
329	108065	219405
330	108349	218991
331	108644	218598
332	108930	218188
333	109212	217770
334	109510	217387
335	109803	216992
336	110082	216572
337	110364	216158
338	110647	215746
339	110934	215343
340	111225	214949
341	111608	214731
342	111954	214444
343	112246	214050
344	112570	213721
345	112861	213327
346	113146	212924
347	113431	212521
348	113722	212130
349	114002	211719
350	114292	211326
351	114575	210923
352	114858	210519
353	115152	210136
354	115438	209740
355	115724	209343
356	116008	208946
357	116300	208561
358	116576	208149
359	116863	207757
360	117150	207365
361	117436	206974
362	117717	206572
363	118007	206188
364	118300	205809
365	118599	205442
366	118896	205072
367	119168	204659
368	119440	204246
369	119715	203839
370	120004	203457
371	120281	203056
372	120549	202640
373	120823	202233
374	121096	201828
375	121368	201419
376	121645	201021
377	121936	200647
378	122214	200250
379	122493	199857
380	122764	199452
381	123032	199042
382	123340	198697
383	123629	198321
384	123926	197961
385	124209	197576
386	124491	197191
387	124758	196784
388	125029	196382
389	125305	195991
390	125578	195594
391	125850	195196
392	126123	194802
393	126404	194418
394	126671	194016
395	126946	193625
396	127211	193220
397	127484	192828
398	127759	192439
399	128034	192051
400	128305	191658
401	128583	191276
402	128861	190893
403	129140	190513
404	129415	190128
405	129694	189750
406	129973	189371
407	130244	188982
408	130515	188593
409	130782	188199
410	131059	187820
411	131348	187458
412	131627	187082
413	131910	186713
414	132181	186328
415	132450	185940
416	132725	185560
417	132991	185169
418	133270	184797
419	133548	184423
420	133821	184044
421	134092	183662
422	134378	183301
423	134684	182967
424	134961	182594
425	135250	182238
426	135616	181986
427	135894	181615
428	136161	181230
429	136439	180861
430	136718	180493
431	137004	180135
432	137275	179757
433	137540	179372
434	137818	179006
435	138088	178628
436	138363	178257
437	138638	177887
438	138912	177516
439	139184	177143
440	139459	176774
441	139730	176401
442	140004	176032
443	140273	175657
444	140535	175274
445	140809	174906
446	141087	174544
447	141354	174169
448	141626	173800
449	141894	173427
450	142174	173067
451	142455	172711
452	142725	172341
453	143006	171985
454	143277	171618
455	143547	171249
456	143821	170886
457	144097	170526
458	144368	170159
459	144640	169794
460	144914	169433
461	145191	169076
462	145462	168711
463	145734	168348
464	146007	167986
465	146280	167626
466	146552	167264
467	146841	166922
468	147108	166556
469	147375	166189
470	147646	165827
471	147916	165465
472	148184	165102
473	148457	164743
474	148728	164384
475	149005	164030
476	149292	163689
477	149559	163326
478	149844	162983
479	150118	162627
480	150389	162270
481	150660	161912
482	150933	161558
483	151220	161218
484	151514	160886
485	151825	160572
486	152096	160216
487	152386	159880
488	152658	159526
489	152941	159184
490	153219	158836
491	153489	158480
492	153763	158129
493	154044	157786
494	154330	157447
495	154612	157105
496	154910	156781
497	155185	156431
498	155457	156080
499	155730	155730
500	156006	155383
501	156288	155042
502	156563	154695
503	156839	154349
504	157110	153999
505	157384	153652
506	157655	153302
507	157933	152959
508	158212	152617
509	158480	152265
510	158776	151941
511	159077	151621
512	159358	151282
513	159642	150946
514	159917	150602
515	160191	150256
516	160472	149918
517	160740	149569
518	161010	149222
519	161337	148926
520	161654	148623
521	161949	148298
522	162257	147986
523	162529	147641
524	162800	147295
525	163065	146944
526	163347	146610
527	163618	146265
528	163891	145921
529	164167	145582
530	164433	145234
531	164702	144888
532	164974	144546
533	165249	144206
534	165521	143864
535	165792	143521
536	166067	143183
537	166341	142843
538	166613	142502
539	166887	142163
540	167161	141824
541	167441	141491
542	167714	141152
543	167989	140814
544	168263	140476
545	168535	140137
546	168810	139800
547	169094	139472
548	169383	139147
549	169659	138812
550	169928	138471
551	170310	138223
552	170589	137890
553	170860	137552
554	171129	137212
555	171403	136876
556	171675	136539
557	171956	136208
558	172244	135885
559	172518	135550
560	172794	135216
561	173065	134879
562	173347	134552
563	173625	134221
564	173900	133887
565	174177	133556
566	174452	133223
567	174728	132892
568	175010	132565
569	175293	132239
570	175567	131906
571	175848	131578
572	176132	131254
573	176410	130924
574	176681	130590
575	176961	130263
576	177239	129934
577	177510	129601
578	177788	129273
579	178068	128946
580	178342	128615
581	178611	128280
582	178878	127945
583	179164	127623
584	179433	127290
585	179708	126961
586	179988	126635
587	180262	126306
588	180537	125977
589	180806	125645
590	181088	125321
591	181367	124996
592	181656	124678
593	181931	124350
594	182213	124027
595	182494	123704
596	182774	123380
597	183041	123047
598	183309	122716
599	183581	122387
600	183856	122061
601	184134	121736
602	184410	121411
603	184682	121083
604	184959	120758
605	185238	120435
606	185511	120108
607	185784	119782
608	186096	119480
609	186392	119168
610	186678	118850
611	186951	118524
612	187217	118194
613	187485	117865
614	187764	117543
615	188036	117217
616	188305	116889
617	188576	116563
618	188848	116237
619	189119	115911
620	189387	115584
621	189659	115259
622	189936	114937
623	190212	114615
624	190486	114291
625	190756	113966
626	191030	113643
627	191327	113334
628	191599	113009
629	191869	112685
630	192138	112360
631	192409	112036
632	192686	111715
633	192971	111399
634	193261	111087
635	193552	110775
636	193852	110468
637	194168	110171
638	194467	109863
639	194752	109548
640	195025	109226
641	195298	108904
642	195570	108582
643	195844	108262
644	196119	107941
645	196389	107619
646	196668	107301
647	196940	106980
648	197247	106677
649	197555	106376
650	197868	106077
651	198171	105772
652	198449	105454
653	198718	105132
654	198988	104810
655	199259	104489
656	199530	104168
657	199800	103847
658	200077	103530
659	200344	103207
660	200613	102886
661	200906	102577
662	201208	102273
663	201508	101968
664	201805	101661
665	202078	101342
666	202351	101023
667	202616	100701
668	202888	100382
669	203162	100065
670	203435	99746
671	203717	99433
672	203989	99115
673	204275	98803
674	204552	98488
675	204915	98213
676	205196	97900
677	205472	97584
678	205743	97265
679	206020	96950
680	206292	96633
681	206559	96313
682	206830	95995
683	207110	95682
684	207387	95367
685	207656	95049
686	207922	94730
687	208189	94411
688	208461	94095
689	208734	93779
690	209008	93463
691	209288	93151
692	209564	92837
693	209833	92520
694	210111	92207
695	210384	91891
696	210660	91578
697	210927	91260
698	211235	90961
699	211526	90654
700	211848	90360
701	212150	90058
702	212425	89744
703	212703	89432
704	212984	89121
705	213262	88809
706	213541	88497
707	213820	88185
708	214104	87876
709	214380	87564
710	214660	87252
711	214932	86938
712	215206	86625
713	215479	86312
714	215755	86000
715	216025	85686
716	216294	85371
717	216584	85065
718	216860	84753
719	217142	84444
720	217437	84140
721	217717	83830
722	217994	83519
723	218265	83206
724	218535	82892
725	218804	82578
726	219078	82267
727	219342	81952
728	219609	81638
729	219884	81327
730	220160	81016
731	220527	80739
732	220811	80432
733	221092	80123
734	221378	79816
735	221651	79505
736	221929	79196
737	222209	78887
738	222488	78578
739	222758	78266
740	223031	77955
741	223304	77645
742	223581	77335
743	223851	77024
744	224121	76712
745	224398	76403
746	224675	76094
747	224956	75787
748	225268	75490
749	225547	75182
750	225824	74874
751	226098	74564
752	226370	74254
753	226644	73944
754	226910	73633
755	227194	73327
756	227466	73017
757	227738	72708
758	228007	72397
759	228282	72089
760	228548	71778
761	228833	71473
762	229117	71167
763	229396	70860
764	229673	70553
765	229947	70244
766	230217	69935
767	230502	69630
768	230781	69324
769	231061	69018
770	231342	68712
771	231617	68405
772	231913	68103
773	232244	67813
774	232552	67515
775	232844	67212
776	233120	66905
777	233405	66601
778	233685	66295
779	233957	65987
780	234242	65683
781	234516	65376
782	234796	65071
783	235069	64764
784	235354	64460
785	235622	64151
786	235904	63847
787	236186	63542
788	236466	63237
789	236753	62934
790	237020	62626
791	237296	62320
792	237554	62009
793	237804	61697
794	238061	61386
795	238335	61081
796	238627	60779
797	238952	60486
798	239262	60189
799	239561	59890
800	239939	59610
801	240214	59304
802	240488	58999
803	240778	58697
804	241058	58392
805	241335	58088
806	241627	57787
807	242358	57590
808	242805	57325
809	243160	57037
810	243503	56747
811	243848	56457
812	244206	56170
813	244482	55864
814	244984	55610
815	245296	55311
816	245587	55009
817	245882	54707
818	246281	54428
819	246628	54137
820	246964	53844
821	247442	53582
822	247895	53314
823	248310	53037
824	248698	52754
825	249043	52461
826	249345	52160
827	249622	51853
828	249919	51551
829	250193	51244
830	250798	51004
831	251216	50726
832	251575	50435
833	251903	50139
834	252217	49839
835	252696	49572
836	252980	49266
837	253265	48960
838	253552	48655
839	253852	48352
840	254153	48050
841	254494	47755
842	254793	47452
843	255078	47147
844	255361	46841
845	255638	46534
846	255912	46227
847	256193	45921
848	256490	45618
849	256775	45313
850	257052	45006
851	257328	44700
852	257612	44395
853	257913	44093
854	258191	43786
855	258476	43482
856	258770	43178
857	259048	42872
858	259328	42567
859	259603	42261
860	259882	41955
861	260153	41648
862	260438	41344
863	260753	41044
864	261059	40743
865	261354	40440
866	261648	40137
867	261977	39839
868	262261	39535
869	262541	39230
870	262821	38925
871	263125	38623
872	263402	38318
873	263678	38013
874	263956	37708
875	264233	37402
876	264506	37097
877	264789	36793
878	265068	36488
879	265341	36182
880	265617	35877
881	265892	35572
882	266166	35267
883	266436	34962
884	266710	34657
885	266992	34353
886	267287	34051
887	267570	33747
888	267845	33443
889	268129	33139
890	268423	32837
891	268696	32532
892	268979	32229
893	269264	31926
894	269541	31622
895	269816	31317
896	270094	31014
897	270376	30710
898	270655	30407
899	270952	30105
900	271247	29804
901	271519	29499
902	271790	29195
903	272068	28892
904	272347	28588
905	272657	28288
906	272938	27985
907	273206	27681
908	273512	27381
909	273801	27079
910	274076	26775
911	274351	26472
912	274628	26169
913	274903	25866
914	275172	25562
915	275439	25258
916	275716	24955
917	275987	24652
918	276262	24349
919	276549	24047
920	276821	23744
921	277091	23441
922	277471	23147
923	277755	22845
924	278031	22543
925	278307	22240
926	278589	21938
927	278862	21635
928	279137	21333
929	279410	21030
930	279686	20728
931	279958	20426
932	280229	20123
933	280502	19821
934	280771	19518
935	281058	19217
936	281331	18915
937	281607	18613
938	281884	18311
939	282157	18010
940	282422	17707
941	282705	17406
942	282983	17105
943	283260	16803
944	283538	16502
945	283818	16201
946	284095	15899
947	284369	15598
948	284647	15297
949	284925	14996
950	285200	14694
951	285468	14393
952	285751	14092
953	286020	13791
954	286296	13490
955	286575	13189
956	286847	12888
957	287125	12587
958	287401	12287
959	287679	11986
960	287950	11685
961	288222	11385
962	288499	11084
963	288773	10784
964	289064	10484
965	289342	10183
966	289623	9883
967	289899	9583
968	290173	9283
969	290447	8982
970	290736	8683
971	291014	8383
972	291287	8083
973	291576	7783
974	291847	7483
975	292125	7183
976	292406	6883
977	292692	6584
978	292996	6284
979	293268	5985
980	293550	5685
981	293839	5386
982	294130	5086
983	294406	4787
984	294690	4487
985	294964	4188
986	295238	3888
987	295518	3589
988	295785	3289
989	296062	2990
990	296341	2691
991	296615	2392
992	296892	2092
993	297163	1793
994	297434	1494
995	297708	1195
996	297997	896
997	298267	597
998	298540	298
999	298821	0
